country,usergroup,promotion_code,batch,promotion,promotion_type,discount_type,discount,startdate,enddate,issued_qty,not_used_qty,usage_qty,amount_of_orders
Online Shop,,geani-83V0-DJJS,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-CKYP-BSUZ,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-40WG-QC7I,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-9ZKI-CMCA,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-QS9V-2BRL,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-3HGX-1BIT,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-Q0G1-BAUT,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-L126-MQ2L,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-ST0O-P81T,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-M02I-GSOG,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-WK7C-VESZ,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-T6NJ-WE2E,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-HSFQ-XZQ7,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-IUWD-NOEI,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-RWIE-T96P,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-C1A0-1SQA,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-0X2K-8YS3,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-UOSL-3AFY,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-LVVU-YVNU,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-749N-38E9,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-XP3Z-IZLT,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-E4U6-RCG9,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-EA12-MTSG,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-MI36-O9GH,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-D5KC-JHWI,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-1F7V-I45T,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-1AOI-PDVV,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-PUTI-BOVO,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-AU69-Y7A7,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-G9TD-D93G,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-KQTL-XSSK,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-X2LN-02TV,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-7J8O-TAGQ,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-59I0-4AYL,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-16EE-WVLQ,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-QKNX-OQLS,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-JHNV-EV8E,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-ROKV-3YQ6,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-YVGP-2AOV,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-RHIP-5092,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-KX1O-PGC0,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-I4ZT-PYAJ,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-KXU1-I5BE,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-4695-ATG2,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-AAPE-JHCH,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-7N27-J2C2,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-BFIS-4SEA,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-81KY-DK8T,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-L7PW-0UEY,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-Y3TR-E2D8,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-GR8V-PTLU,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-EDJB-NQDV,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-BOD7-906Y,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-PZU0-2716,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-P4N1-X1PH,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-ADG9-Q85A,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-LPS6-051S,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
Online Shop,,geani-NR4J-IHTW,2,geani test voucher,Promo,Relative%,99,01-02-16 00:00,12-04-16 00:00,8701,8701,0,
